word,definition
car,an automobile:
castle,"a fortified, protected building, usually with a wall around it, owned by a prince or noble esp. in former times"
cat,"a small, furry, carnivorous animal often kept as a pet"
read,"to look at so as to understand the meaning of (something written, printed, etc.):"
book,a work printed on sheets of paper bound together within covers
dog,a common four-legged animal kept as a pet and bred in many varieties
kill,to deprive of life
fudge,"a soft candy usually made with sugar, butter, milk, and flavoring"
why,(used to introduce a question) for what cause or reason or purpose?
about,concerning
french,of or relating to france
sauce,"a liquid food, such as gravy, put on food:"
